Key,en,es,ar,fr
appLOrderStatus,Order Status,Estado del pedido,حالة الطلب,Statut de la commande
appLOrderDate,Order Date,Fecha del pedido,تاريخ الطلب,Date de commande
appLQuantity,Quantity,Cantidad,كمية,Quantité
appLSeparateDelivery,Separate Delivery,Entrega por separado,تسليم منفصل,Livraison séparée
appLTogatherDelivery,Togather Delivery(default),Entrega conjunta (predeterminado),التسليم معًا (افتراضي),Livraison Togather (par défaut)
appLDeliveryDetails,Delivery Details,Detalles de la entrega,تفاصيل التسليم,Détails de livraison
appLSearchForProduct,Search For Products,Buscar productos,البحث عن المنتجات,Rechercher des produits
appLSearchHere,Search here...,Buscar aquí...,ابحث هنا...,Rechercher ici...
appLPasswordReset,Password Reset,Restablecer contraseña,إعادة تعيين كلمة المرور,Réinitialisation du mot de passe
appLResetYourPassword,Reset Your Password to Signin again,Restablezca su contraseña para iniciar sesión nuevamente,إعادة تعيين كلمة المرور الخاصة بك لتسجيل الدخول مرة أخرى,Réinitialisez votre mot de passe pour vous reconnecter
appLForgotPassword,Forgot Password,Has olvidado tu contraseña,هل نسيت كلمة السر,Mot de passe oublié
appLOptional,Optional,Opcional,خياري,Facultatif
appLLanguageChange,Change Language,Cambiar idioma,تغيير اللغة,Changer de langue
appLRegisterNow,Register Now,Regístrate ahora,سجل الآن,Inscrivez-vous maintenant
appLLoginNow,Login Now,Iniciar sesión ahora,تسجيل الدخول الآن,Connectez-vous maintenant
appLAddress,Address,DIRECCIÓN,عنوان,Adresse
appLSelectTime,Select Time,Seleccionar hora,حدد الوقت,Sélectionnez l'heure
appLSelectDate,Select Date,Seleccionar fecha,حدد التاريخ,Sélectionnez la date
appLDate,Date,Fecha,تاريخ,Date
appLChangePassword,Change Password,Cambiar la contraseña,تغيير كلمة المرور,Changer le mot de passe
appLConfirmPayment,Confirm Payment,Confirmar pago,تأكيد الدفع,Confirmer le paiement
appLDeleteAccount,Delete Account,Eliminar cuenta,حذف الحساب,Supprimer le compte
appLDeleteAccountSubTitle,"Are you sure, you want to delete your account?",¿Estás seguro que deseas eliminar tu cuenta?,هل أنت متأكد أنك تريد حذف حسابك؟,Êtes-vous sûr de vouloir supprimer votre compte ?
appLBillingDetails,Billing Details,Detalles de facturación,تفاصيل الفاتورة,Détails de facturation
appLPaymentGatewayCharge,Payment gateway charge,Cargo por pasarela de pago,رسوم بوابة الدفع,Frais de passerelle de paiement
appLPaymentMethods,Payment Methods,Métodos de pago,طرق الدفع,Modes de paiement
appLPaymentMethod,Payment Method,Método de pago,طريقة الدفع,Mode de paiement
appLCashOnDelivary,Cash on delivary,Pago contra reembolso,الدفع نقدًا عند التسليم,Paiement à la livraison
appLWalletPayment,Wallet Payment,Pago con billetera,الدفع عبر المحفظة,Paiement par portefeuille
appLOnlinePayment,Online Payment,Pago en línea,الدفع عبر الإنترنت,Paiement en ligne
appLPlaceOrder,Place Order,Realizar pedido,وضع الطلب,Passer une commande
appLSuccess,Success,Éxito,نجاح,Succès
appLRejected,Rejected,Rechazado,مرفوض,Rejeté
appLPending,Pending,Pendiente,قيد الانتظار,En attente
appLReusableBag,Reusable Bag,Bolsa reutilizable,حقيبة قابلة لإعادة الاستخدام,Sac réutilisable
appLOrderDetails,Order Details,Detalles del pedido,تفاصيل الطلب,Détails de la commande
appLDeliveryCharge,Delivery Charge,Cargo por envío,رسوم التوصيل,Frais de livraison
appLTrackingNumber,Tracking Number,El número de rastreo,عدد تتبع,Numéro de suivi
appLDeliveryDate,Delivery Date,Fecha de entrega,تاريخ التسليم او الوصول,La date de livraison
appLDeliveryTime,Delivery Time,El tiempo de entrega,موعد التسليم,Délai de livraison
appLDeliveryInfo,Delivery Information,Información de entrega,معلومات التسليم,Informations de livraison
appLShippingMethod,Shipping Method,Método de envío,طريقة الشحن,Méthode d'expédition
appLShipmentDetails,Shipment Details,Detalles del envío,تفاصيل الشحنة,Détails de l'expédition
appLAddReusableBags,Add reusable bags?,¿Añadir bolsas reutilizables?,إضافة أكياس قابلة لإعادة الاستخدام؟,Ajouter des sacs réutilisables ?
appLWalletBalance,Wallet Balance,Saldo de la billetera,رصيد المحفظة,Solde du portefeuille
appLTotalCost,Total Cost,Costo total,التكلفة الإجمالية,Coût total
appLOrderNotes,Order Notes,Notas del pedido,ملاحظات الطلب,Notes de commande
appLOrderNotesHintText,"Notes about your order, e.g. special notes for delivery","Notas sobre su pedido, por ejemplo, notas especiales para la entrega",ملاحظات حول طلبك، على سبيل المثال ملاحظات خاصة بالتسليم,"Remarques sur votre commande, par exemple des remarques spéciales pour la livraison"
appLAddressHintText,House number and street name,Número de casa y nombre de la calle,رقم المنزل واسم الشارع,Numéro de maison et nom de rue
appLAlreadyHaveAn,Already Have An Account?,¿Ya tienes una cuenta?,هل لديك حساب بالفعل؟,Vous avez déjà un compte?
appLNewTo,Don't Have An Account?,¿No tienes una cuenta?,ليس لديك حساب؟,Vous n'avez pas de compte ?
appLYourAddress,Your Address,Su dirección,عنوانك,Votre adresse
appLAddressNotes,"Notes about your order, e.g. special notes for delivery","Notas sobre su pedido, por ejemplo, notas especiales para la entrega",ملاحظات حول طلبك، على سبيل المثال ملاحظات خاصة بالتسليم,"Remarques sur votre commande, par exemple des remarques spéciales pour la livraison"
appLLogoutSubTitle,Are you sure you want to logout?,¿Estás seguro que deseas cerrar la sesión?,هل أنت متأكد أنك تريد تسجيل الخروج؟,Êtes-vous sûr de vouloir vous déconnecter ?
appLLoginSuccess,Logged in successfully,Inició sesión correctamente,تم تسجيل الدخول بنجاح,Connecté avec succès
appLSpecialOffer,Special Offer,Oferta especial,عرض خاص,Offre spéciale
appLSimilarItems,Similar Items,Artículos similares,عناصر مماثلة,Articles similaires
appLOutOfStock,Out of stock,Agotado,إنتهى من المخزن,En rupture de stock
appLPleaseLogInToContinue,Please log in to continue,"Por favor, inicia sesión para continuar",الرجاء تسجيل الدخول للمتابعة,Veuillez vous connecter pour continuer
appLGuestUser,Guest User,Usuario invitado,مستخدم ضيف,Utilisateur invité
appLSeeMore,See More,Ver más,شاهد المزيد,Voir plus
appLDiscountOffer,Discount offer,Oferta de descuento,عرض خصم,Offre de réduction
appLCannotAddMore,Cannot add more Reached available stock,No se puede agregar más Se alcanzó el stock disponible,لا يمكن إضافة المزيد من المخزون المتاح,Impossible d'ajouter plus de stock disponible atteint
appLSeeLess,See Less,Ver menos,انظر أقل,Voir moins
Initial Quantity,Initial Quantity,Cantidad inicial,الكمية الأولية,Quantité initiale
Order Quantity,Order Quantity,Cantidad del pedido,كمية الطلب,Quantité commandée
Login with Email,Login with Email,Iniciar sesión con correo electrónico,تسجيل الدخول باستخدام البريد الإلكتروني,Connectez-vous avec votre e-mail
Initial Stock,Initial Stock,Stock inicial,المخزون الأولي,Stock initial
Stock,Stock,Existencias,مخزون,Action
Available Stock,Available Stock,Stock disponible,المخزون المتوفر,Stock disponible
Search by Name,Search by Name,Buscar por nombre,البحث حسب الاسم,Rechercher par nom
Enter product name,Enter product name,Introduzca el nombre del producto,أدخل اسم المنتج,Entrez le nom du produit
All Categories,All Categories,Todas las categorías,جميع الفئات,Toutes les catégories
All Areas,All Areas,Todas las áreas,جميع المناطق,Tous les domaines
No Product Found!,No Product Found!,¡No se encontró ningún producto!,لم يتم العثور على المنتج!,Aucun produit trouvé !
Time Range,Time Range,Intervalo de tiempo,نطاق الوقت,Plage de temps
Hour,Hour,Hora,ساعة,Heure
Special Offer,Special Offer,Oferta especial,عرض خاص,Offre spéciale
Need Help,Need Help,Necesitar ayuda,بحاجة الى مساعدة,Besoin d'aide
How can we help you?,How can we help you?,¿Cómo podemos ayudarle?,كيف يمكننا مساعدتك؟,Comment pouvons-nous vous aider?
"Search for products (e.g. fish, apple, oil)...","Search for products (e.g. fish, apple, oil)...","Buscar productos (por ejemplo pescado, manzana, aceite)...",ابحث عن المنتجات (مثل الأسماك، التفاح، الزيت)...,"Rechercher des produits (par exemple poisson, pomme, huile)..."
No Record Found!,No Record Found!,¡No se encontró ningún registro!,لم يتم العثور على أي سجل!,Aucun enregistrement trouvé !
Enter Subject,Enter Subject,Introduzca el asunto,أدخل الموضوع,Entrez le sujet
Write Here,Write Here,Escribe aquí,اكتب هنا,Écrivez ici
Attachments (Optional),Attachments (Optional),Archivos adjuntos (opcionales),المرفقات (اختياري),Pièces jointes (facultatif)
More,More,Más,أكثر,Plus
Filter,Filter,Filtrar,فلتر,Filtre
Proceed to Checkout,Proceed to Checkout,Pasar por la caja,الشروع في الخروج,Passer à la caisse
Setup Unit,Setup Unit,Unidad de configuración,وحدة الإعداد,Unité de configuration
Free Delivery,Free Delivery,Entrega gratuita,توصيل مجاني,Livraison gratuite
Delivery Count,Delivery Count,Recuento de entregas,عدد التسليمات,Nombre de livraisons
Setup Shipment,Setup Shipment,Configuración de envío,إعداد الشحنة,Configuration de l'expédition
Delivery Delay Days,Delivery Delay Days,Días de retraso en la entrega,أيام تأخير التسليم,Jours de retard de livraison
Start Time,Start Time,Hora de inicio,وقت البدء,Heure de début
End Time,End Time,Fin de los tiempos,وقت النهاية,Fin des temps
Time Gap,Time Gap,Brecha de tiempo,فجوة زمنية,Décalage temporel
Add Shipment,Add Shipment,Agregar envío,إضافة شحنة,Ajouter une expédition
Mark as Default,Mark as Default,Marcar como predeterminado,وضع علامة كإعداد افتراضي,Marquer comme défaut
Category Name,Category Name,Nombre de la categoría,اسم الفئة,Nom de la catégorie
Edit Category,Edit Category,Editar categoría,تعديل الفئة,Modifier la catégorie
Setup Area,Setup Area,Área de configuración,منطقة الإعداد,Zone d'installation
 Add Area, Add Area,Agregar área,إضافة منطقة,Ajouter une zone
"Edit Area","Edit Area
","Área de edición
",تحرير المنطقة,"Zone d'édition
"
Add Area,Add Area,Agregar área,إضافة منطقة,Ajouter une zone
Sort By,Sort By,Ordenar por,فرز حسب,Trier par
 Add Product, Add Product,Agregar producto,إضافة المنتج,Ajouter un produit
Meta Description,Meta Description,Meta descripción,الوصف التعريفي,Méta description
